108,Bitter Rivals and Broken Bonds,Canon
109,An Invitation from the Sound,Canon
110,Formation! The Sasuke Retrieval Squad,Canon
111,Sound vs. Leaf,Canon
112,Squad Mutiny: Everything Falls Apart!,Canon
113,"Full Throttle Power! Choji, Ablaze!",Canon
114,Good-bye Old Friend...! I'll Always Believe in You!,Canon
115,Your Opponent Is Me!,Canon
116,360 Degrees of Vision: The Byakugan's Blind Spot,Canon
117,Losing is Not an Option!,Canon
118,The Vessel Arrives Too Late,Canon
119,Miscalculation: A New Enemy Appears!,Canon
120,Roar and Howl! The Ultimate Tag Team,Canon
121,To Each His Own Battle,Canon
122,Fakeout: Shikamaru's Comeback!,Canon
123,The Leaf's Handsome Devil!,Canon
124,The Beast Within,Canon
125,The Sand Shinobi: Allies of the Leaf,Canon
126,Showdown: Gaara vs. Kimimaro!,Canon
127,Vengeful Strike! The Bracken Dance,Canon
128,A Cry on Deaf Ears,Canon
129,Brothers: Distance Among the Uchiha,Canon
130,"Father and Son, the Broken Crest",Canon
131,The Secrets of the Mangekyo Sharingan!,Canon
132,For a Friend,Canon
133,A Plea From a Friend,Canon
134,The End of Tears,Canon
135,The Promise That Could Not Be Kept,Canon
136,Deep Cover!? A Super S-Ranked Mission!,Mostly Filler
137,"A Town of Outlaws, the Shadow of the Fuma Clan",Filler
138,"Pure Betrayal, and a Fleeting Plea!",Filler
139,Pure Terror! The House of Orochimaru,Filler
140,Two Heartbeats: Kabuto's Trap,Filler
141,Sakura's Determination,Mostly Filler
142,The Three Villains from the Maximum Security Prison,Mostly Filler
143,Tonton! I'm Counting on You!,Filler
144,A New Squad! Two People and a Dog?!,Filler
145,A New Formation: Ino-Shika-Cho!,Filler
146,Orochimaru's Shadow,Filler
147,A Clash of Fate: You Can't Bring Me Down,Filler
148,Search for the Rare Bikochu Beetle,Filler
149,What's the Difference? Don't All Insects Look Alike?,Filler
150,A Battle of Bugs: The Deceivers and the Deceived,Filler
151,Blaze Away Byakugan: This Is My Ninja Way,Filler
152,Funeral March for the Living,Filler
153,A Lesson Learned: The Iron Fist of Love,Filler
154,The Enemy of the Byakugan,Filler
155,The Dark Creeping Clouds,Filler
156,Raiga's Counterattack,Filler
157,Run! The Curry of Life,Filler
158,Follow My Lead! The Great Survival Challenge,Filler
159,Bounty Hunter from the Wilderness,Filler
